item_id,location_id,name,meal_period,description,tags
59,2,Grilled Cheese,"lunch, dinner","Grilled Cheese with provolone, gouda, and american cheese",vegetarian
60,2,Chicken Foccacia,"lunch, dinner",Chicken Foccacia,
61,2,Buffalo Cauliflower Wrap,"lunch, dinner","Buffalo Cauliflower Wrap with crispy fried cauliflower tossed in buffalo sauce with lettuce, tomatoes, and blue cheese dressing",vegetarian
62,2,Crispy Buffalo Chicken Sandwich,"lunch, dinner",Crispy Buffalo Chicken Sandwich with pickles and lettuce,
63,2,Crispy Sweet Chili Chicken Sandwich,"lunch, dinner",Crispy Sweet Chili Chicken Sandwich with lettuce and pickles,
64,2,Turkey Club Wrap,"lunch, dinner","Turkey Club Wrap with sliced turkey breast, bacon, avocado, lettuce, honey mustard",
65,2,Terriyaki Grilled Chicken Sandwich,"lunch, dinner","Terriyaki Grilled Chicken Sandwich with grilled chicken, sweet teriyaki sauce, pineapple, lettuce, tomatoes, and red onion",
66,2,Island Pizza,"lunch, dinner","Pizza with ham, bacon, caramelized onion, pineapple, jalapeno",
67,2,Build Your Own Pizza,"lunch, dinner",Choose from a variety of protein and toppings,
68,2,Buffalo Chicken Pizza,"lunch, dinner","Pizza with crispy buffalo chicken, bacon, monterey jack, and mozzarella ranch drizzle",
69,2,Meateater Pizza,"lunch, dinner","Pizza with bacon, ham, pepperoni, sausage, mozzarella, and marinara sauce",
70,2,Pepperoni Calzone,"lunch, dinner","Baked calzone with pepperoni, ricotta, and marinara sauce",
71,2,Cali Chicken Pizza,"lunch, dinner","Grilled Chicken Pesto, Tomato, Arugula, Fresh Avocado, Mozzarella",
72,2,Cheese Pizza,"lunch, dinner",Cheese Pizza,vegetarian
73,2,Veggie Calzone,"lunch, dinner","Baked calzone with mozzarella, ricotta, marinara, red onions, red bell peppers, spinach, and mushrooms",vegetarian
74,2,Veg Pizza,"lunch, dinner","Pizza with spinach, mushroom, red pepper, onion, olives, and vegan cheese","vegetarian, vegan"
75,2,BBQ Chicken Pizza,"lunch, dinner","Pizza with chicken, mozzarella, tomato, onion, garlic, marinara, bbq sauce",
76,2,Ice Cream,dessert,"Available flavours of ice cream: Chocolate cookie dough, Chocolate, coffee, cookies and cream, devi's delight, mint chocolate chip, strawberry, vanilla",vegetarian
77,2,Tacos,"lunch, dinner","Taco Protein options: pulled chicken, steak, blackened mahi, calamari, crispy shrimp, veggie",vegetarian
78,2,Build Your own burger,"lunch, dinner",build your own burger,
79,2,Double Patty Melt Burger,"lunch, dinner","Double patty melt with grilled onions, swiss cheese",
80,2,Duke Blue Cheese burger,"lunch, dinner","Duke Blue Cheese burger with blue cheese crumbles, fresh spinach, mushrooms, green goddess",
81,2,Gothic Smash Burger,"lunch, dinner","Gothic lb smash burger with american cheese, pickles, romaine lettuce, tomato, devil dip",
82,2,Cali Smash Burger,"lunch, dinner","Two beef patties layered with melted american cheese, crisp iceberg lettuce, tomato slices, pickles and avocado",
83,3,Build Your Own Bowl,"lunch, dinner","Build your own bowl with base, protein, toppings and sauce",
84,3,Acai Bowl,"snack, dessert","Build your own acai bowl with base choices of pineapple whip, pitaya dragon fruit, traditional acai,  blue spirulina, mango cream, passion fruit, strawberry, cacao. Toppings include banana, pineapple, cranberries,  berries, kiwi, coconut, bee pollen, chia seeds, honey, granola, sunbutter","vegetarian, vegan"
85,3,Dole Whip,dessert,Dole Whip available as classic or mango,"vegetarian, vegan"
86,3,Autumn Harvest Salad,"lunch, dinner","Spinach & kale blend, chickpeas, apples, carrots, cucumbers, cranberries, pumpkin seeds, lime vinaigrette",vegetarian
87,3,Mediterranean Thyme,"lunch, dinner","Maple zaatar sweet potatoes, lemon thyme grilled chicken, chickpeas, marinated artichokes, lemon garlic sauce, and fresh lime wedge",
88,3,Carolina BBQ Thyme,"lunch, dinner","Pulled Pork BBQ, maple sweet potatoes, cajun pintos, pickled red onions, pickled jalapenos, cinnamon grilled pineapple",
89,3,Hot Honey Chicken Tenders,"lunch, dinner",Hot honey chicken tenders,
90,3,Taco Thyme,"lunch, dinner","Taco Protein options: caribbean jerk chicken, lemon thyme grilled chicken, shredded beef, sweet potatoes. Taco toppings: brown rice and quinoa, cilantro line black beans, fire roasted corn with poblano peppers, mango salsa, tomatillo salsa verde","vegetarian, vegan"
91,3,Crispy Chickpea Falafel Wrap,"lunch, dinner","Chickpea falafel, cucumbers, garlic hummus, green goddess ranch dressing, red pickled onion, shredded kale","vegetarian, vegan"
92,3,Grilled Chicken Nuggets,"lunch, dinner",Grilled Chicken Nuggets,
93,3,Signature Lavender Lemonade,drink,Lavendar Lemonade,sweet
94,4,Tokyo,"lunch, dinner","Teriyaki chicken rice bowl with corn, sweet potato, kale salad, edamame, green onion, crunch, spicy mayo, eel sauce, sesame seed. Options for white rice, brown rice or mixed greens.",
95,4,Hong Kong ,"lunch, dinner","Spicy pork rice bowl with broccoli, cababge and red pepper, cucumber, cilantro, sesame seed, crunch, sambal sauce, eel sauce. Options for white rice, brown rice or mixed greens.",
96,4,Shanghai,"lunch, dinner","Ginger Chicken rice bowl with cabbage and red pepper, zucchini, cilantro, crunch, white sauce, and sesame seeds. Options for white rice, brown rice or mixed greens.",
97,4,California,"lunch, dinner","Teriyaki tofu rice bowl with zucchini, kale salad, broccoli, cilantro, and cusabi sauce. Options for white rice, brown rice or mixed greens.",vegetarian
98,4,Seoul,"lunch, dinner","Korean BBQ beef rice bowl with zucchini, pickled radish, pickled carrot, kimchi slaw, kale salad, green onion, fried egg, sesame seeds, gochujang, white sauce, and sesame oil. Options for white rice, brown rice or mixed greens.",
99,4,Pad Thai,"lunch, dinner","Stir fried noodles with eggs, vegetables, options of chicken or tofu, in a tamarind-based sauce",
100,4,Tteokbokki,"lunch, dinner","Tteokbokki with gochujang sauce, fish cake, beef dumpings and boiled eggs",
101,4,Make Your Own Bowl,"lunch, dinner","Choose one protein, four vegetables, toppings, and any sauce. Options for white rice, brown rice or mixed greens.",
102,4,Salmon Poke Bowl ,"lunch, dinner","salmon bowl with carrot, cabbage, kale salad, seaweed salad, crab salad, and crunch. Options for white rice, brown rice or mixed greens.",
103,4,Tuna Poke Bowl,"lunch, dinner","tuna bowl with carrot, cabbage, kale salad, seaweed salad, crab salad, and crunch. Options for white rice, brown rice or mixed greens.",
104,4,Spicy Tuna Poke Bowl,"lunch, dinner","Spicy tuna bowl with carrot, cabbage, kale salad, seaweed salad, crab salad, and crunch. Options for white rice, brown rice or mixed greens.",
105,4,Spicy Miso Ramen,"lunch, dinner","Spicy miso soup ramen with bamboo shoots, bean sprouts, pork belly or fried tofu, green onion, marinated egg, and corn",
106,4,Tonkotsu Ramen,"lunch, dinner","Tonkotsu soup ramen with bamboo shoots, bean sprouts, pork belly or fried tofu, green onion, marinated egg, and corn",
107,4,Beef Dumplings,"lunch, dinner, snack",Beef dumplings with kimchi slaw,
108,4,Vegetable Dumplings,"lunch, dinner, snack",Vegetable Dumplings with kimchi slaw,vegetarian
109,4,Chicken Dumplings,"lunch, dinner, snack",Chicken Dumplings with kimchi slaw,
110,4,Vegetable spring rolls,"lunch, dinner, snack",Vegetable spring rolls,vegetarian
111,5,Nigiri and Sashimi,"lunch, dinner, snack","Options: eel, salmon, shrimp, tuna, yellowtail",
112,5,Sashimi bowl,"lunch, dinner","Choice of sashimi with rice or salad base and topped with red pepper, edamame, pickles, cucumber, crab salad. Options for eel sauce, spicy mayo, ginger dressing, wasabi dressing or gochujang sauce",
113,5,Edamame,"lunch, dinner, snack",edamame,"vegetarian, vegan"
114,5,Miso soup,"lunch, dinner, snack",Miso Soup,
115,5,Salmon Tower,"lunch, dinner","salmon with sushi rice, avocado, crab salad, and cucumber. Topped with white sauce, spicy mayo, eel sauce, masago, scallions, cilantro, and sesame seeds. Served with chips",
116,5,Seaweed salad,"lunch, dinner, snack",seaweed salad,"vegetarian, vegan"
117,5,Tuna Tower,"lunch, dinner","tuna with sushi rice, avocado, crab salad, and cucumber. Topped with white sauce, spicy mayo, eel sauce, masago, scallions, cilantro, and sesame seeds. Served with chips",
118,5,Make your own sushi,"lunch, dinner","Options: eel, salmon, shrimp, tuna, yellowtail, spicy tuna, tempura shrimp, crab salad, cucumber. Sauces: eel, spicy mayo, gocujang, sriracha","vegetarian, vegan"
119,5,Atlantic,"lunch, dinner","Sushi burrito with salmon, avocado, cucumber, lettuce, slaw, masago, crunch, and spicy mayo",
120,5,Pacific,"lunch, dinner","Sushi burrito with tuna, kale, cucumber, lettuce, cilantro, masago, crunch, and eel sauce",
121,5,Arctic,"lunch, dinner","Sushi burrito with spicy tubna, crab salad, cucumber, lettuce, avocado, masago and sriracha",
122,5,Southern,"lunch, dinner","Sushi burrito with shrimp tempura, avocado, cucumber, lettuce, slaw, masago, crab salad, crunch, eel sauce, and spicy mayo",
123,5,Blossom Roll ,"lunch, dinner","Sushi roll with spicy tuna, crab salad, cucumber, seared salmon, crispy onion, white sauce, and eel sauce",
124,5,Coco Roll,"lunch, dinner","Sushi roll with spicy tuna, cucmber, crab salad, seaweed salad, and white sauce",
125,5,Fire Cracker Roll,"lunch, dinner","Sushi roll with shrimp tempura, pickled jalapeno, cucmber, seared tuna, black rice, crunch, and soy garlic mayo",
126,5,Mary Roll,"lunch, dinner","Sushi roll with crab salad, avocado, cucumber, spicy tuna, scallion, masago, and spicy mayo",
127,5,Nigiri Combo,"lunch, dinner","tuna, salmon, yellowtail nigiri",
128,5,White Tiger Roll,"lunch, dinner","Sushi roll with shrimp tempura, spicy tuba, crab salad, spicy mayo, and eel sauce",
129,5,California Roll,"lunch, dinner","Sushi roll with crab salad, avocado, cucumber, sesame seeds",
130,5,Veggie Roll,"lunch, dinner","Sushi roll with avocado, cucumber, picked carrot, and sesame seed","vegetarian, vegan"
131,5,Salmon Avocado Roll,"lunch, dinner","Sushi roll with salmon, avocado, and sesame seed",
132,5,Salmon Crunch Roll,"lunch, dinner","Sushi roll with salmon, avocado, cream cheese, crunch and eel sauce",
133,5,Spicy Tuna Roll,"lunch, dinner","Sushi roll with spicy tuna, cucumber, sesame seed, and spicy mayo",
134,5,Dancing Eel Roll,"lunch, dinner","Sushi roll with crab salad, cucumber, avocado, eel, and eel sauce",
135,5,Rainbow Roll,"lunch, dinner","Sushi roll with crab salad, cucumber, avocado, tuna, salmon, and yellowtail",
136,5,Shrimp Tempura Roll,"lunch, dinner","Sushi roll with shrimp tempura, crab salad, cucumber, avocado, spicy mayo, eel-sauce, and crispy onion",
137,5,Shrimp Tempura Yubu,"lunch, dinner","Fried tofu, fried shrimp, crispy onion, green onion, masago, ginger and eel sauce",
138,5,Salmon yubu,"lunch, dinner","fried tofu, salmon, crispy onion, and spicy mayo",
139,5,Seaweed salad,"lunch, dinner",fried tofu and seaweed salad,"vegetarian, vegan"
140,5,Spicy Tuba Yubu,"lunch, dinner","fried tofu, spicy tuna, crispy onion, and spicy mayo",
141,6,London Broil,"lunch, dinner","Beef flank steak with two sides, bread roll, and sauce",
142,6,Prime Rib,"lunch, dinner","Prime Rib with two sides, bread roll, and sauce",
143,6,Pork Chop,"lunch, dinner","Pork Chop with two sides, bread roll, and sauce",
144,6,Beef Skewer,"lunch, dinner","Beef skewer with two sides, bread roll, and sauce",
145,6,Ribeye,"lunch, dinner","Beef ribeye with two sides, bread roll, and sauce",
146,6,BBQ Ribs,"lunch, dinner","BBQ ribs with two sides, bread roll, and sauce",
147,6,Quarter flame roasted chicken,"lunch, dinner","quarter flame roasted chicken with two sides, bread roll, and sauce",
148,6,Half flame roasted chicken,"lunch, dinner","Half flame roasted chicken with two sides, bread roll, and sauce",
149,6,Wood fired boneless chicken breast,"lunch, dinner","Wood fired boneless chicken breast with two sides, bread roll, and sauce",
150,6,Paella Mixta,"lunch, dinner","Pulled chicken, chorizo, shrimp, roasted peppers, peas, tomato in saffron rice",
151,6,Shrimp Skewer,"lunch, dinner","Shrimp skwere with two sides, bread roll, and sauce",
152,6,Atlantic Salmon Filet,"lunch, dinner","Salmon with two sides, bread roll, and sauce",
153,6,Mahi Mahi,"lunch, dinner","Mahi Mahi with with two sides, bread roll, and sauce",
154,6,Yellow Fin Tuna,"lunch, dinner","Yellow fin tuna with two sides, bread roll, and sauce",
155,6,Sides,"lunch, dinner, snack","Options: twice baked potato, grilled tomato salad, roasted broccoli, garlic mashed potatoes, grilled asparagus, steak house wedges, cranberry quinoa, roasted vegetables, brown rice, sweet potato fries, baked potato, paella mixta",
156,6,Prime Rib Steak and Cheese,"lunch, dinner",Prime Rib steak and cheese sandwich with cheese and mushrooms and a choice of side,
157,6,Chophouse Burger,"lunch, dinner","Burger with cheese, lettuce, tomato, onion, cheddar  or swiss cheese, steak sauce",
158,6,Loaded Goat Burger,"lunch, dinner","Burger with arugula, red pepper, and goat cheese",
159,6,Black and Blue Burger,"lunch, dinner","Burger with mixed greens, red onion, greens, mustard and blue cheese",
160,6,Ultimate Grilled Chicken Sandwich,"lunch, dinner","Chicken sandwich with mixed greens, lettuce, tomato, bacon, swiss cheese, chipotle ranch",
161,6,Smoke house chopped salad,"lunch, dinner","tomato, cucmber, red pepper, celery, roasted corn cheddar cheese, chipotle ranch",
162,6,The Wedge Salad,"lunch, dinner","iceberg lettuce, cheese, tomato, crumbled bacon, blue cheese dressing",vegetarian
163,6,Apple and Fennel Salad,"lunch, dinner","apple, fennel, arugula, romaine, almonds, dried cranberries, white wine vinaigrette","vegetarian, vegan"
164,6,Classic Caesar,"lunch, dinner","Romaine lettuce, parmesan cheese, house croutons, classic caesar dressing",
165,6,Flourless Chocolate cake,dessert,Blend of four chocolates and ganache,vegetarian
166,6,Tiramisu,dessert,mascarpone cream on foccee and rum soaked sponce cake and dusted with imported cocoa,vegetarian
167,6,Raspberry white chocolate cheesecake,"lunch, dinner",white chocolate cheesecake swirled with raspberry,vegetarian
168,7,Build Your Own Tacos,"lunch, dinner",2 tacos with choice of protein and toppings,"vegetarian, vegan"
169,7,Build Your Own Arepa Bowl,"lunch, dinner",Latin bowl customized with your choice of toppings,"vegetarian, vegan"
170,7,Build Your Own Burrito,"lunch, dinner",Customizeable burrito with chips and salsa,"vegetarian, vegan"
171,7,Build Your Own Quesadilla,"lunch, dinner",Grilled flour tortillas with cheese and your choice of toppings,"vegetarian, vegan"
172,7,Tortilla Options,"lunch, dinner",Options of corn or flour,"vegetarian, vegan"
173,7,Base Options,"lunch, dinner","Options of shredded romaine, brown rice, white rice, and black beans","vegetarian, vegan"
174,7,Protein Options,"lunch, dinner","Options of Grilled Chicken, Carnitas, Barbacoa, Blackened Shrimp, Portobello, Steak, Chorizo, Hot Honey Chicken, Tofrizo","vegetarian, vegan"
175,7,Toppings Options,"lunch, dinner","Options of Fajita Peppers and onions, fried egg, plaintains, guacamole, pico de gallo, corn salsa, habanero coleslaw, cilantro lime slaw, cotija cheese, monterrey jack cheese","vegetarian, vegan"
176,7,Sauce Options,"lunch, dinner","Hot Cilantro Aioli, Chimichurri, mild cilantro aioli, fresco sour cream","vegetarian, vegan"
177,7,Chocolate Chip Cookie,dessert,Chocolate Chip Cookie,
178,7,Iced Brownie,dessert,Iced Brownie,
179,7,Chips & Sauce,snack,"Chips with guacamole, salsa, or queso",
180,8,Healthy Boost,drink,"beets, green apple, celery, carrot, ginger","cold, non_dairy, low_sugar"
181,8,Grilled Ratatouille,"lunch, dinner",Grilled Ratatouille panini on focaccia bread,
182,8,Chicken Pesto,"lunch, dinner",Hot sandwich with grilled chicken pesto and melted mozzarella cheese and side of chips,
183,8,Frappe,drink,"Frappucino with whip cream and options of caramel, chai, matcha, mocha or vanilla flavor. Milk substitutions available of whole, soy skim, or oat","cold, sweet, caffeinated, dairy, non_dairy"
184,8,Iced Coffee,drink,Iced Coffee,"cold, non_dairy"
185,8,Cortado,drink,"Cortado available Iced or Hot and with milk substitutes of whole, soy skim, or oat","caffeinated, hot, dairy"
186,8,Large Milk,drink,"Large Milk (skim, oat, soy or whole)","cold, dairy, non_dairy"
187,8,Americano,drink,"Americano available Iced or Hot, with milk substitutes of oat, skim,soy, or whole and syrups of caramel, sugar free vanilla, vanilla, or chocolate","caffeinated, hot, cold, dairy, non_dairy, sweet"
188,8,Cappucino,drink,"Cappucino available Iced or Hot, with milk substitutes of oat, skim,soy, or whole and syrups of caramel, sugar free vanilla, vanilla, or chocolate","caffeinated, hot, cold, dairy, non_dairy, sweet"
189,8,House Brewed Coffee,drink,House brewed coffee available iced or hot and regular or decaf,"caffeinated, hot, cold, non_dairy"
190,8,Caramel Leche,drink,"Caramel Leche available Iced or Hot, with milk substitutes of oat, skim,soy, or whole","caffeinated, hot, cold, dairy, non_dairy, sweet"
191,8,Cafe Latte,drink,"Cafe Latte available Iced or Hot, with milk substitutes of oat, skim,soy, or whole and syrups of caramel, sugar free vanilla, vanilla, or chocolate","caffeinated, hot, cold, dairy, non_dairy, sweet"
192,8,Mocha Latte,drink,"Mocha Latte available Iced or Hot, with milk substitutes of oat, skim,soy, or whole and syrups of caramel, sugar free vanilla, vanilla, or chocolate","caffeinated, hot, cold, dairy, non_dairy, sweet"
193,8,Matcha Latte,drink,"Matcha Latte available Iced or Hot, with milk substitutes of oat, skim,soy, or whole","caffeinated, hot, cold, dairy, non_dairy, sweet"
194,8,Hot Chocolate,drink,"Hot Chocolate available  with milk substitutes of oat, skim or whole","hot, sweet, non_dairy, dairy"
195,8,Hot Tea,drink,"Earl grey, english breakfast, jasmine, tumeric ginger","caffeinated, hot, non_dairy"
196,8,Earl Grey Latte,drink,"Earl Grey Latte available Iced or Hot, with milk substitutes of oat, skim,soy, or whole","caffeinated, hot, cold, dairy, non_dairy, sweet"
197,8,Chai Latte,drink,"Chai Latte available Iced or Hot, with milk substitutes of oat, skim,soy, or whole","caffeinated, hot, cold, dairy, non_dairy, sweet"
198,8,Vietnamese Coffee,drink,"Vietnamese Coffee available Iced or Hot, with milk substitutes of oat, skim,soy, or whole","caffeinated, hot, cold, dairy, non_dairy, sweet"
199,8,Apple Juice,drink,Apple Juice,non_dairy
200,8,Carrot Juice,drink,Carrot Juice,non_dairy
201,8,Green Monster,drink,"kale, cucumber, celery, organic baby spinach, green apple","cold, non_dairy, low_sugar"
202,8,Orange Juice,drink,Orange Juice,non_dairy
203,8,Mango Smoothie,drink,"mango, banana, orange juice, mango sorbet","cold, non_dairy, low_sugar"
204,8,Strawberry Smoothie,drink,"strawberries, banana, orange juice, mixed berries, sorbet","cold, non_dairy, low_sugar"
205,8,Apple and Brie crepe,"breakfast, dessert, lunch",Apple and Brie Crepe,
206,8,Cinnamon Sugar crepe,"breakfast, dessert, lunch",Cinnamon Sugar crepe,
207,8,Chicken Pesto Crepe,"breakfast, dessert, lunch","Chicken, arugula, pesto, tomatoes, mozzarella, balsamic glaze",
208,8,Chocolate Crepe,"breakfast, dessert, lunch",Chocolate Crepe,
209,8,Croque Monsieur Crepe,"breakfast, dessert, lunch","Black forest ham, swiss, dijonaise",
210,8,Egg Florentine,"breakfast, dessert, lunch","egg, swiss cheese, roasted red pepper, organic baby spinach",
211,8,French Beef Sandwich,"lunch, dinner","beef, arugula, siwss cheese, caramelized onion, tomato",
212,8,Egg n Cheese Croissant,"lunch, dinner",Egg n Cheese Croissant,
213,8,Chicken Parmesan Sandwich,"lunch, dinner","Chicken, mozzarella, marinara, basil",
214,8,Toscano Sandwich,"lunch, dinner","Mortadella salami, mozzarella cheese, tomato, basil, red wine vinegar",
215,8,Crispy Chicken and Pimento Cheese Sandwich ,"lunch, dinner","Chicken tenders, pimento cheese, pickles, arugula, garlic",
216,8,Egg bites,"breakfast, snack ","Egg bites with bacon, swiss and arugula",
217,8,Egg & Cheese bagel,"breakfast, lunch",Egg  and cheese bagel,
218,8,"Bacon, Egg, and Cheese Croissant","breakfast, lunch","Bacon, Egg, and Cheese Croissant",
219,8,Chocolate Chip Scone,"breakfast, snack, dessert",Chocolate Chip Scone,
220,8,Muffin,"breakfast, snack, dessert","Blueberry, chocolate chip, coffee cake, or pumpkin muffin",
221,8,Crumb Cake,"breakfast, snack, dessert",Crumb Cake,
222,8,Broccoli Quiche Slice,"breakfast, snack",Broccoli Quiche Slice,
223,8,Pumpkin Sweet Bread,"breakfast, snack, dessert",Pumpkin Sweet Bread,
224,8,Quiche Lorraine Slice,"breakfast, snack",Quiche Lorraine Slice,
225,8,Blueberry Scone,"breakfast, snack, dessert",Blueberry Scone,
226,8,Slice of Cake,"snack, dessert",Death by Chocolate or Tiramisu cake,
227,8,Dessert Bar,"snack, dessert",Cheescake brownie or lemon bar,
228,8,Cookie,"snack, dessert","Black & White, Chocolate Chip, Oatmeal Raisin, Shortdough Specialty",
229,8,Cupcake,"snack, dessert","Chocolate, Cookies & Cream, Strawberry Lemonade, Vanilla",
230,8,Sweet Bread,"snack, dessert",Sweet Bread,
231,8,Gelato,"snack, dessert","Flavor Options: Cappucino, Chocolate, Dulce de Leche, Lemon, Mango, Mint Chocolate Chip, Mixed Berry, Salted Caramel, Vanilla",
232,9,Falafel Pita Pocket,"lunch, dinner","Falafel, tahini, pita, lettuce, tomato, red onion",
