item_id,location_id,item_name,meal_period,item_description,generated_tags,all_tags,loc_name,campus,location,hours,cuisine,loc_description,tags,document
11,1,Matcha Latte,drink,"Matcha Latte available Iced or Hot and with milk substitutes of oat, skim or whole","drink,caffeinated","caffeinated, drink",Beyu Blue Coffee,West Campus,Bryan Center,7 am - 7 pm (mon - fri); 9 am - 5 pm (sat - sun),cafe,"Coffee, Tea, and Bakery Items","coffee,drinks,breakfast,grab-and-go,quick","Matcha Latte. Available at Beyu Blue Coffee (cafe cuisine) in Bryan Center on West Campus campus. Hours: 7 am - 7 pm (mon - fri); 9 am - 5 pm (sat - sun). Served during: drink. Matcha Latte available Iced or Hot and with milk substitutes of oat, skim or whole. Item tags: caffeinated, drink. Venue tags: coffee,drinks,breakfast,grab-and-go,quick. "
12,1,Pineapple Smoothie,drink,Pineapple Smoothie,"vegan,healthy,drink,quick,snack","drink, healthy, quick, snack, vegan",Beyu Blue Coffee,West Campus,Bryan Center,7 am - 7 pm (mon - fri); 9 am - 5 pm (sat - sun),cafe,"Coffee, Tea, and Bakery Items","coffee,drinks,breakfast,grab-and-go,quick","Pineapple Smoothie. Available at Beyu Blue Coffee (cafe cuisine) in Bryan Center on West Campus campus. Hours: 7 am - 7 pm (mon - fri); 9 am - 5 pm (sat - sun). Served during: drink. Pineapple Smoothie. Item tags: drink, healthy, quick, snack, vegan. Venue tags: coffee,drinks,breakfast,grab-and-go,quick. "
13,1,Steamer Milk,drink,"Heated milk available with oat, skim or whole milk","dairy,drink,comfort_food","comfort_food, dairy, drink",Beyu Blue Coffee,West Campus,Bryan Center,7 am - 7 pm (mon - fri); 9 am - 5 pm (sat - sun),cafe,"Coffee, Tea, and Bakery Items","coffee,drinks,breakfast,grab-and-go,quick","Steamer Milk. Available at Beyu Blue Coffee (cafe cuisine) in Bryan Center on West Campus campus. Hours: 7 am - 7 pm (mon - fri); 9 am - 5 pm (sat - sun). Served during: drink. Heated milk available with oat, skim or whole milk. Item tags: comfort_food, dairy, drink. Venue tags: coffee,drinks,breakfast,grab-and-go,quick. "
14,1,White Hot Chocolate,drink,"Hot Chocolate available  with milk substitutes of oat, skim or whole","dairy,drink,comfort_food","comfort_food, dairy, drink",Beyu Blue Coffee,West Campus,Bryan Center,7 am - 7 pm (mon - fri); 9 am - 5 pm (sat - sun),cafe,"Coffee, Tea, and Bakery Items","coffee,drinks,breakfast,grab-and-go,quick","White Hot Chocolate. Available at Beyu Blue Coffee (cafe cuisine) in Bryan Center on West Campus campus. Hours: 7 am - 7 pm (mon - fri); 9 am - 5 pm (sat - sun). Served during: drink. Hot Chocolate available  with milk substitutes of oat, skim or whole. Item tags: comfort_food, dairy, drink. Venue tags: coffee,drinks,breakfast,grab-and-go,quick. "
15,1,Strawberry Smoothie,drink,Strawberry Smoothie,"vegetarian,vegan,healthy,drink,quick,snack,breakfast","breakfast, drink, healthy, quick, snack, vegan, vegetarian",Beyu Blue Coffee,West Campus,Bryan Center,7 am - 7 pm (mon - fri); 9 am - 5 pm (sat - sun),cafe,"Coffee, Tea, and Bakery Items","coffee,drinks,breakfast,grab-and-go,quick","Strawberry Smoothie. Available at Beyu Blue Coffee (cafe cuisine) in Bryan Center on West Campus campus. Hours: 7 am - 7 pm (mon - fri); 9 am - 5 pm (sat - sun). Served during: drink. Strawberry Smoothie. Item tags: breakfast, drink, healthy, quick, snack, vegan, vegetarian. Venue tags: coffee,drinks,breakfast,grab-and-go,quick. "
16,1,Caramello,drink,"Caramel, vanilla, steamed milk, and caramel drizzle. Available Iced or Hot and with milk substitutions of oat, skim, or whole milk","dairy,comfort_food,drink","comfort_food, dairy, drink",Beyu Blue Coffee,West Campus,Bryan Center,7 am - 7 pm (mon - fri); 9 am - 5 pm (sat - sun),cafe,"Coffee, Tea, and Bakery Items","coffee,drinks,breakfast,grab-and-go,quick","Caramello. Available at Beyu Blue Coffee (cafe cuisine) in Bryan Center on West Campus campus. Hours: 7 am - 7 pm (mon - fri); 9 am - 5 pm (sat - sun). Served during: drink. Caramel, vanilla, steamed milk, and caramel drizzle. Available Iced or Hot and with milk substitutions of oat, skim, or whole milk. Item tags: comfort_food, dairy, drink. Venue tags: coffee,drinks,breakfast,grab-and-go,quick. "
17,1,Dirty Chai,drink,"Chai Latte with a shot of espresso available Iced or Hot and with milk substitutes of oat, skim or whole","drink,caffeinated","caffeinated, drink",Beyu Blue Coffee,West Campus,Bryan Center,7 am - 7 pm (mon - fri); 9 am - 5 pm (sat - sun),cafe,"Coffee, Tea, and Bakery Items","coffee,drinks,breakfast,grab-and-go,quick","Dirty Chai. Available at Beyu Blue Coffee (cafe cuisine) in Bryan Center on West Campus campus. Hours: 7 am - 7 pm (mon - fri); 9 am - 5 pm (sat - sun). Served during: drink. Chai Latte with a shot of espresso available Iced or Hot and with milk substitutes of oat, skim or whole. Item tags: caffeinated, drink. Venue tags: coffee,drinks,breakfast,grab-and-go,quick. "
18,1,La Vanilla,drink,"Vanilla latte availableIced or Hot and with milk substitutes of oat, skim, or whole","dairy,drink,caffeinated","caffeinated, dairy, drink",Beyu Blue Coffee,West Campus,Bryan Center,7 am - 7 pm (mon - fri); 9 am - 5 pm (sat - sun),cafe,"Coffee, Tea, and Bakery Items","coffee,drinks,breakfast,grab-and-go,quick","La Vanilla. Available at Beyu Blue Coffee (cafe cuisine) in Bryan Center on West Campus campus. Hours: 7 am - 7 pm (mon - fri); 9 am - 5 pm (sat - sun). Served during: drink. Vanilla latte availableIced or Hot and with milk substitutes of oat, skim, or whole. Item tags: caffeinated, dairy, drink. Venue tags: coffee,drinks,breakfast,grab-and-go,quick. "
19,1,Mexican Latte,drink,"Latte with Mexican Coffee available Iced or Hot and with milk substitutes of oat, skim, or whole","drink,caffeinated","caffeinated, drink",Beyu Blue Coffee,West Campus,Bryan Center,7 am - 7 pm (mon - fri); 9 am - 5 pm (sat - sun),cafe,"Coffee, Tea, and Bakery Items","coffee,drinks,breakfast,grab-and-go,quick","Mexican Latte. Available at Beyu Blue Coffee (cafe cuisine) in Bryan Center on West Campus campus. Hours: 7 am - 7 pm (mon - fri); 9 am - 5 pm (sat - sun). Served during: drink. Latte with Mexican Coffee available Iced or Hot and with milk substitutes of oat, skim, or whole. Item tags: caffeinated, drink. Venue tags: coffee,drinks,breakfast,grab-and-go,quick. "
20,1,Oprah Mocha,drink,"Mocha available Iced or Hot and with milk substitues of oat, skim, or whole","drink,caffeinated","caffeinated, drink",Beyu Blue Coffee,West Campus,Bryan Center,7 am - 7 pm (mon - fri); 9 am - 5 pm (sat - sun),cafe,"Coffee, Tea, and Bakery Items","coffee,drinks,breakfast,grab-and-go,quick","Oprah Mocha. Available at Beyu Blue Coffee (cafe cuisine) in Bryan Center on West Campus campus. Hours: 7 am - 7 pm (mon - fri); 9 am - 5 pm (sat - sun). Served during: drink. Mocha available Iced or Hot and with milk substitues of oat, skim, or whole. Item tags: caffeinated, drink. Venue tags: coffee,drinks,breakfast,grab-and-go,quick. "
21,1,Turle Mocha,drink,"Mocha with caramel syrup available Iced or Hot and with milk substitues of oat, skim, or whole","drink,caffeinated","caffeinated, drink",Beyu Blue Coffee,West Campus,Bryan Center,7 am - 7 pm (mon - fri); 9 am - 5 pm (sat - sun),cafe,"Coffee, Tea, and Bakery Items","coffee,drinks,breakfast,grab-and-go,quick","Turle Mocha. Available at Beyu Blue Coffee (cafe cuisine) in Bryan Center on West Campus campus. Hours: 7 am - 7 pm (mon - fri); 9 am - 5 pm (sat - sun). Served during: drink. Mocha with caramel syrup available Iced or Hot and with milk substitues of oat, skim, or whole. Item tags: caffeinated, drink. Venue tags: coffee,drinks,breakfast,grab-and-go,quick. "
22,1,Americano,drink,"Americano available Iced or Hot and with milk substitutes of oat, skim, or whole","drink,caffeinated","caffeinated, drink",Beyu Blue Coffee,West Campus,Bryan Center,7 am - 7 pm (mon - fri); 9 am - 5 pm (sat - sun),cafe,"Coffee, Tea, and Bakery Items","coffee,drinks,breakfast,grab-and-go,quick","Americano. Available at Beyu Blue Coffee (cafe cuisine) in Bryan Center on West Campus campus. Hours: 7 am - 7 pm (mon - fri); 9 am - 5 pm (sat - sun). Served during: drink. Americano available Iced or Hot and with milk substitutes of oat, skim, or whole. Item tags: caffeinated, drink. Venue tags: coffee,drinks,breakfast,grab-and-go,quick. "
23,1,Cappucino,drink,"Cappucino available Iced or Hot and with milk substitutes of oat, skim, or whole","drink,caffeinated,dairy","caffeinated, dairy, drink",Beyu Blue Coffee,West Campus,Bryan Center,7 am - 7 pm (mon - fri); 9 am - 5 pm (sat - sun),cafe,"Coffee, Tea, and Bakery Items","coffee,drinks,breakfast,grab-and-go,quick","Cappucino. Available at Beyu Blue Coffee (cafe cuisine) in Bryan Center on West Campus campus. Hours: 7 am - 7 pm (mon - fri); 9 am - 5 pm (sat - sun). Served during: drink. Cappucino available Iced or Hot and with milk substitutes of oat, skim, or whole. Item tags: caffeinated, dairy, drink. Venue tags: coffee,drinks,breakfast,grab-and-go,quick. "
24,1,Cortado,drink,"Cortado available Iced or Hot and with milk substitutes of oat, skim, or whole","dairy,drink,caffeinated","caffeinated, dairy, drink",Beyu Blue Coffee,West Campus,Bryan Center,7 am - 7 pm (mon - fri); 9 am - 5 pm (sat - sun),cafe,"Coffee, Tea, and Bakery Items","coffee,drinks,breakfast,grab-and-go,quick","Cortado. Available at Beyu Blue Coffee (cafe cuisine) in Bryan Center on West Campus campus. Hours: 7 am - 7 pm (mon - fri); 9 am - 5 pm (sat - sun). Served during: drink. Cortado available Iced or Hot and with milk substitutes of oat, skim, or whole. Item tags: caffeinated, dairy, drink. Venue tags: coffee,drinks,breakfast,grab-and-go,quick. "
25,1,Espresso,drink,Shot of Espresso,"drink,caffeinated","caffeinated, drink",Beyu Blue Coffee,West Campus,Bryan Center,7 am - 7 pm (mon - fri); 9 am - 5 pm (sat - sun),cafe,"Coffee, Tea, and Bakery Items","coffee,drinks,breakfast,grab-and-go,quick","Espresso. Available at Beyu Blue Coffee (cafe cuisine) in Bryan Center on West Campus campus. Hours: 7 am - 7 pm (mon - fri); 9 am - 5 pm (sat - sun). Served during: drink. Shot of Espresso. Item tags: caffeinated, drink. Venue tags: coffee,drinks,breakfast,grab-and-go,quick. "
26,1,Flat White,drink,"Flat White available Iced or Hot and with milk substitutes of oat, skim, or whole","dairy,drink,caffeinated","caffeinated, dairy, drink",Beyu Blue Coffee,West Campus,Bryan Center,7 am - 7 pm (mon - fri); 9 am - 5 pm (sat - sun),cafe,"Coffee, Tea, and Bakery Items","coffee,drinks,breakfast,grab-and-go,quick","Flat White. Available at Beyu Blue Coffee (cafe cuisine) in Bryan Center on West Campus campus. Hours: 7 am - 7 pm (mon - fri); 9 am - 5 pm (sat - sun). Served during: drink. Flat White available Iced or Hot and with milk substitutes of oat, skim, or whole. Item tags: caffeinated, dairy, drink. Venue tags: coffee,drinks,breakfast,grab-and-go,quick. "
27,1,Latte,drink,"Latte available Iced or Hot and with milk substitutes of oat, skim, or whole","dairy,drink,caffeinated","caffeinated, dairy, drink",Beyu Blue Coffee,West Campus,Bryan Center,7 am - 7 pm (mon - fri); 9 am - 5 pm (sat - sun),cafe,"Coffee, Tea, and Bakery Items","coffee,drinks,breakfast,grab-and-go,quick","Latte. Available at Beyu Blue Coffee (cafe cuisine) in Bryan Center on West Campus campus. Hours: 7 am - 7 pm (mon - fri); 9 am - 5 pm (sat - sun). Served during: drink. Latte available Iced or Hot and with milk substitutes of oat, skim, or whole. Item tags: caffeinated, dairy, drink. Venue tags: coffee,drinks,breakfast,grab-and-go,quick. "
28,1,Macchiato,drink,"Macchiato available Iced or Hot and with milk substitutes of oat, skim, or whole","drink,caffeinated","caffeinated, drink",Beyu Blue Coffee,West Campus,Bryan Center,7 am - 7 pm (mon - fri); 9 am - 5 pm (sat - sun),cafe,"Coffee, Tea, and Bakery Items","coffee,drinks,breakfast,grab-and-go,quick","Macchiato. Available at Beyu Blue Coffee (cafe cuisine) in Bryan Center on West Campus campus. Hours: 7 am - 7 pm (mon - fri); 9 am - 5 pm (sat - sun). Served during: drink. Macchiato available Iced or Hot and with milk substitutes of oat, skim, or whole. Item tags: caffeinated, drink. Venue tags: coffee,drinks,breakfast,grab-and-go,quick. "
29,1,Mocha,drink,"Mocha available Iced or Hot and with milk substitues of oat, skim, or whole","drink,caffeinated","caffeinated, drink",Beyu Blue Coffee,West Campus,Bryan Center,7 am - 7 pm (mon - fri); 9 am - 5 pm (sat - sun),cafe,"Coffee, Tea, and Bakery Items","coffee,drinks,breakfast,grab-and-go,quick","Mocha. Available at Beyu Blue Coffee (cafe cuisine) in Bryan Center on West Campus campus. Hours: 7 am - 7 pm (mon - fri); 9 am - 5 pm (sat - sun). Served during: drink. Mocha available Iced or Hot and with milk substitues of oat, skim, or whole. Item tags: caffeinated, drink. Venue tags: coffee,drinks,breakfast,grab-and-go,quick. "
30,1,Red Eye,drink,"Brew dripped coffee with shot of espresso available Iced or Hot and with milk substitutes of oat, skim, or whole","drink,caffeinated","caffeinated, drink",Beyu Blue Coffee,West Campus,Bryan Center,7 am - 7 pm (mon - fri); 9 am - 5 pm (sat - sun),cafe,"Coffee, Tea, and Bakery Items","coffee,drinks,breakfast,grab-and-go,quick","Red Eye. Available at Beyu Blue Coffee (cafe cuisine) in Bryan Center on West Campus campus. Hours: 7 am - 7 pm (mon - fri); 9 am - 5 pm (sat - sun). Served during: drink. Brew dripped coffee with shot of espresso available Iced or Hot and with milk substitutes of oat, skim, or whole. Item tags: caffeinated, drink. Venue tags: coffee,drinks,breakfast,grab-and-go,quick. "
31,2,Chicken Tenders,"lunch, dinner",Chicken Tenders,"comfort_food,fried,dinner","comfort_food, dinner, fried",Gothic Grill,West Campus,Bryan Center,11 am - Midnight (sun - thur); 11 am - 1 am (fri - sat),american,"Gothic Grill offers small plates, soups, sandwiches, salads, tacos, burgers, pizza, and local ice cream! Alchemy: Alchemy is Gothic Grill's bar establishment-open 4pm-close, seven days a week!","burgers,dinner,late night,pizza,tacos,dessert,bar","Chicken Tenders. Available at Gothic Grill (american cuisine) in Bryan Center on West Campus campus. Hours: 11 am - Midnight (sun - thur); 11 am - 1 am (fri - sat). Served during: lunch, dinner. Chicken Tenders. Item tags: comfort_food, dinner, fried. Venue tags: burgers,dinner,late night,pizza,tacos,dessert,bar. "
32,2,Crispy Cauliflower,"lunch, dinner, snack",crispy cauliflower with ranch,"vegetarian,comfort_food,fried","comfort_food, fried, vegetarian",Gothic Grill,West Campus,Bryan Center,11 am - Midnight (sun - thur); 11 am - 1 am (fri - sat),american,"Gothic Grill offers small plates, soups, sandwiches, salads, tacos, burgers, pizza, and local ice cream! Alchemy: Alchemy is Gothic Grill's bar establishment-open 4pm-close, seven days a week!","burgers,dinner,late night,pizza,tacos,dessert,bar","Crispy Cauliflower. Available at Gothic Grill (american cuisine) in Bryan Center on West Campus campus. Hours: 11 am - Midnight (sun - thur); 11 am - 1 am (fri - sat). Served during: lunch, dinner, snack. crispy cauliflower with ranch. Item tags: comfort_food, fried, vegetarian. Venue tags: burgers,dinner,late night,pizza,tacos,dessert,bar. "
33,2,Fried Shrimp,"lunch, dinner",Fried Shrimp,"fried,dinner,comfort_food","comfort_food, dinner, fried",Gothic Grill,West Campus,Bryan Center,11 am - Midnight (sun - thur); 11 am - 1 am (fri - sat),american,"Gothic Grill offers small plates, soups, sandwiches, salads, tacos, burgers, pizza, and local ice cream! Alchemy: Alchemy is Gothic Grill's bar establishment-open 4pm-close, seven days a week!","burgers,dinner,late night,pizza,tacos,dessert,bar","Fried Shrimp. Available at Gothic Grill (american cuisine) in Bryan Center on West Campus campus. Hours: 11 am - Midnight (sun - thur); 11 am - 1 am (fri - sat). Served during: lunch, dinner. Fried Shrimp. Item tags: comfort_food, dinner, fried. Venue tags: burgers,dinner,late night,pizza,tacos,dessert,bar. "
34,2,Sweet Potato Waffle Fries,"lunch, dinner, snack",Sweet Potato Waffle Fries,"fried,comfort_food,snack","comfort_food, fried, snack",Gothic Grill,West Campus,Bryan Center,11 am - Midnight (sun - thur); 11 am - 1 am (fri - sat),american,"Gothic Grill offers small plates, soups, sandwiches, salads, tacos, burgers, pizza, and local ice cream! Alchemy: Alchemy is Gothic Grill's bar establishment-open 4pm-close, seven days a week!","burgers,dinner,late night,pizza,tacos,dessert,bar","Sweet Potato Waffle Fries. Available at Gothic Grill (american cuisine) in Bryan Center on West Campus campus. Hours: 11 am - Midnight (sun - thur); 11 am - 1 am (fri - sat). Served during: lunch, dinner, snack. Sweet Potato Waffle Fries. Item tags: comfort_food, fried, snack. Venue tags: burgers,dinner,late night,pizza,tacos,dessert,bar. "
35,2,Buffalo Chicken Macaroni and Cheese,"lunch, dinner",Buffalo Chicken Macaroni and Cheese,"comfort_food,dinner,gluten","comfort_food, dinner, gluten",Gothic Grill,West Campus,Bryan Center,11 am - Midnight (sun - thur); 11 am - 1 am (fri - sat),american,"Gothic Grill offers small plates, soups, sandwiches, salads, tacos, burgers, pizza, and local ice cream! Alchemy: Alchemy is Gothic Grill's bar establishment-open 4pm-close, seven days a week!","burgers,dinner,late night,pizza,tacos,dessert,bar","Buffalo Chicken Macaroni and Cheese. Available at Gothic Grill (american cuisine) in Bryan Center on West Campus campus. Hours: 11 am - Midnight (sun - thur); 11 am - 1 am (fri - sat). Served during: lunch, dinner. Buffalo Chicken Macaroni and Cheese. Item tags: comfort_food, dinner, gluten. Venue tags: burgers,dinner,late night,pizza,tacos,dessert,bar. "
36,2,Macaroni and Cheese Cup,"lunch, dinner, snack",Macaroni and Cheese,"comfort_food,dairy,dinner","comfort_food, dairy, dinner",Gothic Grill,West Campus,Bryan Center,11 am - Midnight (sun - thur); 11 am - 1 am (fri - sat),american,"Gothic Grill offers small plates, soups, sandwiches, salads, tacos, burgers, pizza, and local ice cream! Alchemy: Alchemy is Gothic Grill's bar establishment-open 4pm-close, seven days a week!","burgers,dinner,late night,pizza,tacos,dessert,bar","Macaroni and Cheese Cup. Available at Gothic Grill (american cuisine) in Bryan Center on West Campus campus. Hours: 11 am - Midnight (sun - thur); 11 am - 1 am (fri - sat). Served during: lunch, dinner, snack. Macaroni and Cheese. Item tags: comfort_food, dairy, dinner. Venue tags: burgers,dinner,late night,pizza,tacos,dessert,bar. "
37,2,Mozzarella Sticks,"lunch, dinner, snack",Mozzarella Sticks,"dairy,fried,comfort_food,snack","comfort_food, dairy, fried, snack",Gothic Grill,West Campus,Bryan Center,11 am - Midnight (sun - thur); 11 am - 1 am (fri - sat),american,"Gothic Grill offers small plates, soups, sandwiches, salads, tacos, burgers, pizza, and local ice cream! Alchemy: Alchemy is Gothic Grill's bar establishment-open 4pm-close, seven days a week!","burgers,dinner,late night,pizza,tacos,dessert,bar","Mozzarella Sticks. Available at Gothic Grill (american cuisine) in Bryan Center on West Campus campus. Hours: 11 am - Midnight (sun - thur); 11 am - 1 am (fri - sat). Served during: lunch, dinner, snack. Mozzarella Sticks. Item tags: comfort_food, dairy, fried, snack. Venue tags: burgers,dinner,late night,pizza,tacos,dessert,bar. "
38,2,Chicken Cheese Nachos,"lunch, dinner, snack",Shredded Chicken and Cheese Nachos,"comfort_food,dinner,gluten","comfort_food, dinner, gluten",Gothic Grill,West Campus,Bryan Center,11 am - Midnight (sun - thur); 11 am - 1 am (fri - sat),american,"Gothic Grill offers small plates, soups, sandwiches, salads, tacos, burgers, pizza, and local ice cream! Alchemy: Alchemy is Gothic Grill's bar establishment-open 4pm-close, seven days a week!","burgers,dinner,late night,pizza,tacos,dessert,bar","Chicken Cheese Nachos. Available at Gothic Grill (american cuisine) in Bryan Center on West Campus campus. Hours: 11 am - Midnight (sun - thur); 11 am - 1 am (fri - sat). Served during: lunch, dinner, snack. Shredded Chicken and Cheese Nachos. Item tags: comfort_food, dinner, gluten. Venue tags: burgers,dinner,late night,pizza,tacos,dessert,bar. "
39,2,Bavarian Pretzel,"lunch, snack",Bavarian Pretzel,comfort_food,comfort_food,Gothic Grill,West Campus,Bryan Center,11 am - Midnight (sun - thur); 11 am - 1 am (fri - sat),american,"Gothic Grill offers small plates, soups, sandwiches, salads, tacos, burgers, pizza, and local ice cream! Alchemy: Alchemy is Gothic Grill's bar establishment-open 4pm-close, seven days a week!","burgers,dinner,late night,pizza,tacos,dessert,bar","Bavarian Pretzel. Available at Gothic Grill (american cuisine) in Bryan Center on West Campus campus. Hours: 11 am - Midnight (sun - thur); 11 am - 1 am (fri - sat). Served during: lunch, snack. Bavarian Pretzel. Item tags: comfort_food. Venue tags: burgers,dinner,late night,pizza,tacos,dessert,bar. "
